scripts,score,timeline,timeline_ori
低平球到禁区，被乌姆蒂蒂解围,,81,下半场35'54''
法国队换人：18号费基尔上，换下了9号吉鲁！！,,82,下半场36'16''
克罗地亚也是换人调整：20号皮亚察上，换下了3号斯特里尼奇！！,,82,下半场36'48''
克罗地亚前场进攻，中路的过顶球打身后,,83,下半场37'29''
皮亚察插上接应，脚尖停球，没能停好，出界了,,83,下半场37'50''
拉基蒂奇前场左路拿球，内切被放倒！！,,84,下半场38'6''
克罗地亚准备快发，被主裁怕皮塔纳吹了回来,,84,下半场38'21''
莫德里奇任意球斜传到禁区,,84,下半场38'34''
太靠近门将，洛里斯出击将球拿到！,,84,下半场38'43''
博格巴和曼朱基奇争抢时，受伤倒在禁区内,,85,下半场39'0''
皮亚察右路拿球，强突内切,,86,下半场40'24''
挑传找弗尔萨利科，直接出了底线！！,,86,下半场40'34''
费基尔右路拿球，强突被拉基蒂奇放倒在地！！,,87,下半场41'5''
法国队前场，姆巴佩中路强突，远射被苏巴西奇拿到,,87,下半场41'50''
洛夫伦前场中路拿球，分球左侧,,89,下半场43'13''
克拉马里奇拿球内切，横传拉基蒂奇,,89,下半场43'34''
拉基蒂奇禁区外围的远射，打飞了！！,,89,下半场43'45''
比赛进入常规时间的最后一分钟！！,,90,下半场44'28''
拉基蒂奇中场的争抢，被吹犯规！,,90,下半场44'53''
法国队任意球长传到前场，直接出底线！！,,90+1,下半场45'4''
下半场比赛进入伤停补时，补时5分钟！！！,,90+1,下半场45'22''
托利索左路拿球强突，弗尔萨利科的回防犯规！,,90+1,下半场45'38''
托利索左路拿球，内切横传,,90+2,下半场46'10''
维达抢断，中路反击,,90+2,下半场46'15''
分球给到上来的洛夫伦，再找莫德里奇,,90+2,下半场46'29''
失误了，法国队的反击,,90+2,下半场46'35''
格里兹曼左路强突，弗尔萨利科回防滑铲，放倒了格里兹曼，犯规,,90+3,下半场47'6''
弗尔萨利科被主裁判出示了黄牌警告！！,,90+3,下半场47'20''
法国队获得了前场左路的任意球机会！！,,90+3,下半场47'34''
格里兹曼任意球搓传到门前，博格巴插上抢点,,90+4,下半场48'11''
